city,name,adress,Google Plus-Code,longitude,latitude
Barcelona,Home Work Coworking,"Av. Diagonal, 460, 2º 2ª, 08006 Barcelona, Spanien","95W4+FV Barcelona, Spanien",4139619,2157224
Barcelona,Ecoworking Barcelona,"Av. de Roma, 36, 08015 Barcelona, Spanien","94JW+MP Barcelona, Spanien",4138172,2146760
Barcelona,WeWork - Espacio de oficinas y coworking,"Av. Diagonal, 444, ground floor, 08037 Barcelona, Spanien","95W6+Q3 Barcelona, Spanien",4139693,2160188
Barcelona,Cwork Coworking Barcelona,"Carrer de Martí, 110, 08024 Barcelona, Spanien","C555+MX Barcelona, Spanien",4140924,2159934
Barcelona,City Work Bcn | Coworking Barcelona,"Travessera de Gràcia, 73, 79, 08006 Barcelona, Spanien","95W2+R9 Barcelona, Spanien",4139710,2150867
Barcelona,Coworking Oficina24,"C/ d'Aragó, 366, 08009 Barcelona, Spanien","95WC+VM Barcelona, Spanien",4139713,2171660
Barcelona,Aticco Med - Coworking Fórum,"Passeig de Garcia Fària, 49, 08019 Barcelona, Spanien","C637+75 Barcelona, Spanien",4140311,2212883
Barcelona,Jungle . Coworking,"Carrer de la Marina, 68, 08005 Barcelona, Spanien","95RR+V8 Barcelona, Spanien",4139216,2190851
Barcelona,"Spaces - Barcelona, Spaces 22 Arroba","C. de Pallars, 193, 08005 Barcelona, Spanien","C52X+C3 Barcelona, Spanien",4140107,2197789
Barcelona,Coworking BCN575,"Gran Via de les Corts Catalanes, 575, 08011 Barcelona, Spanien","95P6+3V Barcelona, Spanien",4138520,2162199
Barcelona,COCO PLACE : Coworking Gràcia Barcelona,"Carrer de Sant Salvador, 87, 08024 Barcelona, Spanien","C554+64 Barcelona, Spanien",4140805,2155309
Barcelona,Impact Hub Barcelona,"C. de Pujades, 94, 96, 08005 Barcelona, Spanien","95WV+GG Barcelona, Spanien",4139625,2193747
Barcelona,NewWork Coworking & Workspace - Oficinas - Despachos,"C/ del Perú, 186 bis, 08020 Barcelona, Spanien","C672+2P Barcelona, Spanien",4141251,2201790
Barcelona,WeWork - Espacio de oficinas y coworking,"C. de Pallars, 194, 2, 08005 Barcelona, Spanien","C52X+F7 Barcelona, Spanien",4140115,2198181
Barcelona,Coworkidea,"Carrer de Torres i Amat, 21, 1º, 08001 Barcelona, Spanien","95M8+R8 Barcelona, Spanien",4138459,2165783
Barcelona,Utopicus,"Rda. de Sant Pere, 16, 08010 Barcelona, Spanien","95QC+9Q Barcelona, Spanien",4138841,2172004
Barcelona,Coworking Space&Co,"C/ de Muntaner, 328, 08021 Barcelona, Spanien","94XV+3X Barcelona, Spanien",4139773,2144947
Barcelona,Eclektic Space I Coworking Poblenou,"Passatge d'Aymà, 8, 08005 Barcelona, Spanien","96X3+3P Barcelona, Spanien",4139763,2204300
Barcelona,Loft 153 - Coworking space & Offices,"C/ del Consell de Cent, 153, 08015 Barcelona, Spanien","95M3+2M Barcelona, Spanien",4138260,2154248
Barcelona,MOB Caterina - Coworking in Barcelona,"Av. de Francesc Cambó, 17, 1er piso, 08003 Barcelona, Spanien","95PG+FX Barcelona, Spanien",4138622,2177492
Barcelona,Coworking - Factory103,"C/ de Mallorca, 103, 08029 Barcelona, Spanien","95P2+CR Barcelona, Spanien",4138605,2152073
Barcelona,OneCoWork Portal de l´Ángel | Coworking Barcelona,"Avda. del Portal de l'Àngel, 40, 08002 Barcelona, Spanien","95PC+PR Barcelona, Spanien",4138673,2172083
Barcelona,The Foundery,"Pl. Reial, 18, 08002 Barcelona, Spanien","95HG+W3 Barcelona, Spanien",4137974,2175128
Barcelona,ALGRI COWORKING BARCELONA,"Av. Diagonal, 263, 08013 Barcelona, Spanien","C52H+GR Barcelona, Spanien",4140127,2179588
Barcelona,Coworking En Barcelona Space&Co,"C/ de Balmes, 211, 08006 Barcelona, Spanien","95X2+7F Barcelona, Spanien",4139817,2151177
Barcelona,Utopicus Torre Marenostrum,"Pl. del Gas, 1, Edificio B, 08003 Barcelona, Spanien","95MR+77 Barcelona, Spanien",4138318,2190666
Barcelona,Camaleó coworking barcelona,"Carrer de Sant Pere Mitjà, 67, 08003 Barcelona, Spanien","95QH+F8 Barcelona, Spanien",4138862,2178271
Barcelona,Bcn Workspace (Espacios de oficina Barcelona),"Carrer de Tamarit, 119, 125, 08015 Barcelona, Spanien","95G5+M7 Barcelona, Spanien",4137671,2158190
Barcelona,Alpha Espai #Coworking #Poblenou #Barcelona #22@,"C. de Lope de Vega, 99-101, Local, 08005 Barcelona, Spanien","C633+R7 Barcelona, Spanien",4140458,2203182
Barcelona,Monday Tibidabo,"C/ de Lluís Muntadas, 8, 08035 Barcelona, Spanien","C48M+53 Barcelona, Spanien",4141546,2132739
Barcelona,Bcombinator - Incubadora y Coworking en la Playa de Barcelona,"C/ de Badajoz, 32, 08005 Barcelona, Spanien","95WX+9M Barcelona, Spanien",4139592,2199199
Barcelona,CREC Coworking Diagonal - Depot Lab Barcelona,"C/ del Bruc, 149, 08037 Barcelona, Spanien","95X7+G9 Barcelona, Spanien",4139873,2163469
Barcelona,WeWork - Espai d'oficines i coworking,"Pg. de Gràcia, 17, 08007 Barcelona, Spanien","95Q8+WW Barcelona, Spanien",4138976,2167352
Barcelona,Espai Born,"C/ dels Vigatans, 11, 08003 Barcelona, Spanien","95MH+PX Barcelona, Spanien",4138431,2179959
Barcelona,Cloudworks Sant Antoni,"C/ del Comte Borrell, 62, 08015 Barcelona, Spanien","95H6+H7 Barcelona, Spanien",4137892,2160753
Barcelona,Cloudworks Sant Joan,"C/ d'Aragó, 383, 10ma, 08013 Barcelona, Spanien","95XF+H9 Barcelona, Spanien",4139888,2173450
Barcelona,Cwork Barcelona Coworking,"Carrer del Camp, 79, 08022 Barcelona, Spanien","C43P+Q2 Barcelona, Spanien",4140436,2135082
Barcelona,FLYCOWORK | Coworking & Oficinas Privadas,"Ronda del General Mitre, 126, 08021 Barcelona, Spanien","C42Q+W3 Barcelona, Spanien",4140233,2137706
Barcelona,"La Taula Shared Office, Coworking Poblenou","Carrer del Taulat, 59, PB, 08005 Barcelona, Spanien","96X3+5F Barcelona, Spanien",4139788,2203656
Barcelona,Coworking Barcelona (630 Gran Via),"Gran Via de les Corts Catalanes, 630, Piso 1 Puerta 1, 08007 Barcelona, Spanien","95Q9+C4 Barcelona, Spanien",4138855,2167808
Barcelona,Montoya,"C/ d'Àvila, 32, 08005 Barcelona, Spanien","95WX+45 Barcelona, Spanien",4139527,2197883
